gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
AQP10	697	89872	GuideToPharmacologyInteractions	inhibitor	4215	HG2+			
SLC6A9	SLC6A9	6536	ChemblInteractions	inhibitor	CHEMBL1169880	BITOPERTIN	BITOPERTIN	CHEMBL1169880	
VKORC1	2645	79001	GuideToPharmacologyInteractions	inhibitor	6808	DICUMAROL	DICUMAROL	CHEMBL1466	
EHMT2	2652	10919	GuideToPharmacologyInteractions	inhibitor	8238	A-366			
AKR1B1	2768	231	GuideToPharmacologyInteractions	inhibitor	7404	TOLRESTAT	TOLRESTAT	CHEMBL436	
IL4R	TTDC00081	3566	TTD	antagonist	DCL000033	AEROVANT			
GGCX	TTDS00486	2677	TTD	cofactor	DAP001275	PHYTONADIONE			
CLCN6	705	1185	GuideToPharmacologyInteractions	channel blocker	4177	DIDS			
ADRB1	ADRB1R	153	ChemblInteractions	agonist	CHEMBL1711	ISOPROTERENOL HYDROCHLORIDE	ISOPROTERENOL HYDROCHLORIDE	CHEMBL1711	
KCNA6	KCNA6	3742	ChemblInteractions	blocker	CHEMBL1200728	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	CHEMBL1200728	
NR3C1	GRL	2908	ChemblInteractions	modulator	CHEMBL3137316	FOSDAGROCORAT	FOSDAGROCORAT	CHEMBL3137316	
SSTR5	359	6755	GuideToPharmacologyInteractions	"agonist,antagonist"	2036	BIM 23056	CHEMBL410596	CHEMBL410596	
XPO1	CRM1	7514	ChemblInteractions	inhibitor	CHEMBL3545185	SELINEXOR	SELINEXOR	CHEMBL3545185	
PSMB3	PSMB3	5691	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
CMA1	2340	1215	GuideToPharmacologyInteractions	inhibitor	6503	NK3201			
PTGER2	341	5732	GuideToPharmacologyInteractions	antagonist	8546	TG7-171	PAMOIC ACID	CHEMBL177880	
TYR	TYR	7299	ChemblInteractions	inhibitor	CHEMBL544	MEQUINOL	MEQUINOL	CHEMBL544	
BLK	1940	640	GuideToPharmacologyInteractions	inhibitor	6912	IBRUTINIB	IBRUTINIB	CHEMBL1873475	
CALCRL	48	10203	GuideToPharmacologyInteractions	agonist	681	α-CGRP			
NDUFS8	NDUFS8	4728	ChemblInteractions	inhibitor	CHEMBL1703	METFORMIN HYDROCHLORIDE	METFORMIN HYDROCHLORIDE	CHEMBL1703	
AOX1	TTDS00078	316	TTD	inhibitor	DAP000544	MENADIONE	MENADIONE	CHEMBL590	
FNTA	FNTA	2339	ChemblInteractions	inhibitor	CHEMBL298734	LONAFARNIB	LONAFARNIB	CHEMBL298734	
NAT1	9	9	GuideToPharmacologyInteractions	antagonist	256	SB 204070	CHEMBL1256998	CHEMBL1256998	
GABRA3	GABRA3	2556	ChemblInteractions	inverse agonist	CHEMBL2107801	RESEQUINIL	RESEQUINIL	CHEMBL2107801	
PSENEN	PEN-2	55851	TALC	inhibitor	RO 4929097	RO 4929097			
HRAS	2822	3265	GuideToPharmacologyInteractions	inhibitor	8024	LONAFARNIB	LONAFARNIB	CHEMBL298734	
CBX4	1554	8535	GuideToPharmacologyInteractions	inhibitor	8156	COMPOUND 20 [PMID: 22136433]			
PREP	2395	5550	GuideToPharmacologyInteractions	inhibitor	8564	ARI-3531			
EDNRA	219	1909	GuideToPharmacologyInteractions	agonist	992	[125I]ET-2 (HUMAN)			
EIF2AK3	2017	9451	GuideToPharmacologyInteractions	inhibitor	9544	GSK2656157			
PDE6A	1312	5145	GuideToPharmacologyInteractions	inhibitor	8811	COMPOUND 53 [PMID: 19631533]			
GPR143	203	4935	GuideToPharmacologyInteractions	agonist	3639	LEVODOPA	LEVODOPA	CHEMBL1009	
CACNA1I	KIAA1120	8911	ChemblInteractions	blocker	CHEMBL1534525	MIBEFRADIL DIHYDROCHLORIDE	MIBEFRADIL DIHYDROCHLORIDE	CHEMBL1534525	
CHRND	ACHRD	1144	ChemblInteractions	antagonist	CHEMBL1687	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	CHEMBL1687	
GRM7	295	2917	GuideToPharmacologyInteractions	antagonist	1378	LY341495	CHEMBL432038	CHEMBL432038	
ADGRB1	174	575	GuideToPharmacologyInteractions	agonist	3638	PHOSPHATIDYLSERINE	DEXFOSFOSERINE	CHEMBL284377	
CXCR4	71	7852	GuideToPharmacologyInteractions	agonist	8530	CXCL12γ	ROLOFYLLINE (CHEMBL52333)	CHEMBL52333	
RYR3	749	6263	GuideToPharmacologyInteractions	antagonist	4172	DANTROLENE	DANTROLENE	CHEMBL1201288	
PRKCQ	PRKCT	5588	ChemblInteractions	inhibitor	CHEMBL3545332	CEP-2563	CEP-2563	CHEMBL3545332	
CACNA1C	529	775	GuideToPharmacologyInteractions	gating inhibitor	2524	NISOLDIPINE	NISOLDIPINE	CHEMBL1726	
COL4A5	1287	1287	GuideToPharmacologyInteractions	activator	5168	CINACIGUAT	CHEMBL1236936	CHEMBL1236936	
F2R	347	2149	GuideToPharmacologyInteractions	agonist	3742	TFLLR-NH2			
HSP90AA2P	HSP90AA2	3324	MyCancerGenomeClinicalTrial	inhibitor	AUY922	AUY922	NVP-AUY922	CHEMBL252164	
GABRA4	GABRA4	2557	ChemblInteractions	inverse agonist	CHEMBL2107801	RESEQUINIL	RESEQUINIL	CHEMBL2107801	
FZD6	234	8323	GuideToPharmacologyInteractions	agonist	3547	WNT-4			
PRKAR2B	1694	5577	GuideToPharmacologyInteractions	inhibitor	5953	CHELERYTHRINE	CHELERYTHRINE	CHEMBL13045	
F2RL1	348	2150	GuideToPharmacologyInteractions	agonist	9457	AC-98170	CHEMBL494303	CHEMBL494303	
NALCN	750	259232	GuideToPharmacologyInteractions	channel blocker	2440	CD2+	PYRIMETHAMINE	CHEMBL36	
TAP2	44	6891	GuideToPharmacologyInteractions	antagonist	700	α-CGRP-(8-37) (HUMAN)	MONOETHANOLAMINE	CHEMBL104943	
RARB	HAP	5915	ChemblInteractions	agonist	CHEMBL464	ETRETINATE	ETRETINATE	CHEMBL464	
TGFBR1	1788	7046	GuideToPharmacologyInteractions	inhibitor	8246	SD-208	NEOSTIGMINE BROMIDE	CHEMBL54126	
TSPO	TTDS00454	706	TTD	agonist	DCL000772	DEXTOFISOPAM	DEXTOFISOPAM	CHEMBL2107331	
GCGR	GCGR	2642	ChemblInteractions	agonist	CHEMBL1201508	GLUCAGON HYDROCHLORIDE RECOMBINANT	GLUCAGON HYDROCHLORIDE RECOMBINANT	CHEMBL1201508	
KCNN4	384	3783	GuideToPharmacologyInteractions	channel blocker	2333	COMPOUND RAC-16 [PMID: 15603962]			
SLC22A12	OATL4	116085	ChemblInteractions	inhibitor	CHEMBL832	SULFINPYRAZONE	SULFINPYRAZONE	CHEMBL832	
KCNT2	386	343450	GuideToPharmacologyInteractions	gating inhibitor	2341	PHORBOL 12-MYRISTATE 13-ACETATE			
NR1H2	601	7376	GuideToPharmacologyInteractions	agonist	2751	"24(S), 25-EPOXYCHOLESTEROL"	"24(S),25-EPOXYCHOLESTEROL"	CHEMBL434302	
ESR1	620	2099	GuideToPharmacologyInteractions	agonist	2822	"R,R-THC"	CHEMBL282489	CHEMBL282489	
IL17RA	2296	23765	GuideToPharmacologyInteractions	agonist	5875	IL-17C	PARAMETHASONE	CHEMBL1579	
HSP90AB1	HSP90AB1	3326	MyCancerGenomeClinicalTrial	inhibitor	AUY922	AUY922	NVP-AUY922	CHEMBL252164	
KCNA7	KCNA7	3743	ChemblInteractions	blocker	CHEMBL2107762	NERISPIRDINE	NERISPIRDINE	CHEMBL2107762	
RYR2	748	6262	GuideToPharmacologyInteractions	"activator,channel blocker"	4303	RYANODINE	RYANODINE	CHEMBL2112186	
MSTN	GDF8	2660	ChemblInteractions	inhibitor	CHEMBL3545072	LANDOGROZUMAB	LANDOGROZUMAB	CHEMBL3545072	
PTCH1	PTCH1	5727	MyCancerGenome	inhibitor	VISMODEGIB	VISMODEGIB	VISMODEGIB	CHEMBL473417	
GSK3B	2030	2932	GuideToPharmacologyInteractions	inhibitor	9198	COMPOUND 4G [PMID: 2680437]			
CACNA1D	CACH3	776	ChemblInteractions	blocker	CHEMBL1280	VERAPAMIL HYDROCHLORIDE	VERAPAMIL HYDROCHLORIDE	CHEMBL1280	
NDUFS2	NDUFS2	4720	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
CACNG7	CACNG7	59284	ChemblInteractions	modulator	CHEMBL1628502	GABAPENTIN ENACARBIL	GABAPENTIN ENACARBIL	CHEMBL1628502	
SCN5A	582	6331	GuideToPharmacologyInteractions	channel blocker	2623	LIDOCAINE	LIDOCAINE	CHEMBL79	
ATP1A3	ATP1A3	478	ChemblInteractions	inhibitor	CHEMBL1751	DIGOXIN	DIGOXIN	CHEMBL1751	
FGFR4	FGFR4	2264	CancerCommons	inhibitor	BGJ398	BGJ398	INFIGRATINIB	CHEMBL1852688	
PSMA8	PSMA7L	143471	ChemblInteractions	inhibitor	CHEMBL3545432	IXAZOMIB CITRATE	IXAZOMIB CITRATE	CHEMBL3545432	
BRS3	40	680	GuideToPharmacologyInteractions	agonist	8504	COMPOUND 22E [PMID: 20167483]			
CLCNKB	701	1188	GuideToPharmacologyInteractions	channel blocker	4104	3-PHENYL-CPP			
SV2A	KIAA0736	9900	ChemblInteractions	modulator	CHEMBL1286	LEVETIRACETAM	LEVETIRACETAM	CHEMBL1286	
SLC29A1	1117	2030	GuideToPharmacologyInteractions	inhibitor	4590	DRAFLAZINE	DRAFLAZINE	CHEMBL1628717	
CPB2	1594	1361	GuideToPharmacologyInteractions	inhibitor	8623	COMPOUND 4 [PMID: 19954973]			
VEGFA	VEGF	7422	TALC	antibody	ZALTRAP	ZALTRAP	AFLIBERCEPT	CHEMBL1742982	
CHRM5	17	1133	GuideToPharmacologyInteractions	antagonist	321	DARIFENACIN	DARIFENACIN	CHEMBL1346	
GJC2	731	57165	GuideToPharmacologyInteractions	inhibitor	707	CA2+	cA2	CHEMBL2109588	
TBK1	2237	29110	GuideToPharmacologyInteractions	inhibitor	9577	AZ13102909			
TGFBR2	1795	7048	GuideToPharmacologyInteractions	inhibitor	8194	COMPOUND 15B [PMID: 16539403]			
HTR4	HTR4	3360	ChemblInteractions	partial agonist	CHEMBL1516474	TEGASEROD MALEATE	TEGASEROD MALEATE	CHEMBL1516474	
CACNG3	CACNG3	10368	ChemblInteractions	modulator	CHEMBL1628502	GABAPENTIN ENACARBIL	GABAPENTIN ENACARBIL	CHEMBL1628502	
PTGIR	TTDS00170	5739	TTD	antagonist	DAP000826	DINOPROST TROMETHAMINE	DINOPROST TROMETHAMINE	CHEMBL1200896	
DRD5	218	1816	GuideToPharmacologyInteractions	antagonist	38	CLOZAPINE	CLOZAPINE	CHEMBL42	
GABRA2	405	2555	GuideToPharmacologyInteractions	antagonist	2312	BICUCULLINE	BICUCULLINE	CHEMBL417990	
STK31	2220	56164	GuideToPharmacologyInteractions	inhibitor	8122	COMPOUND 25 [PMID: 17935989]			
ANPEP	APN	290	ChemblInteractions	inhibitor	CHEMBL2103847	TOSEDOSTAT	TOSEDOSTAT	CHEMBL2103847	
SLC22A1	1019	6580	GuideToPharmacologyInteractions	inhibitor	516	CLONIDINE	CLONIDINE	CHEMBL134	
RPS6KA2	1529	6196	GuideToPharmacologyInteractions	inhibitor	8038	BI-D1870	CHEMBL573107	CHEMBL573107	
GPER1	221	2852	GuideToPharmacologyInteractions	antagonist	6480	G36			
GLP1R	249	2740	GuideToPharmacologyInteractions	agonist	1136	GLUCAGON	GLUCAGON	CHEMBL266481	
PDE9A	PDE9A	5152	ChemblInteractions	inhibitor	CHEMBL628	PENTOXIFYLLINE	PENTOXIFYLLINE	CHEMBL628	
CACNA2D2	KIAA0558	9254	ChemblInteractions	modulator	CHEMBL2103836	IMAGABALIN	IMAGABALIN	CHEMBL2103836	
CXCR3	70	2833	GuideToPharmacologyInteractions	agonist	758	CCL5			
GABRG3	GABRG3	2567	ChemblInteractions	positive allosteric modulator	CHEMBL1522	ESZOPICLONE	ESZOPICLONE	CHEMBL1522	
GPR3	83	2827	GuideToPharmacologyInteractions	agonist	7802	DIPHENYLENEIODONIUM CHLORIDE	DIPHENYLENEIODONIUM CHLORIDE	CHEMBL397686	
HTR3C	HTR3C	170572	ChemblInteractions	antagonist	CHEMBL3544952	RG3487	RG3487	CHEMBL3544952	
ESRRB	623	2103	GuideToPharmacologyInteractions	agonist	2828	DAIDZEIN	DAIDZEIN	CHEMBL8145	
HRH1	262	3269	GuideToPharmacologyInteractions	agonist	1200	UR-PG146	CHEMBL513056	CHEMBL513056	
LPAR2	273	9170	GuideToPharmacologyInteractions	antagonist	2907	KI16425	CYCLOPHOSPHAMIDE	CHEMBL88	
CCKAR	76	886	GuideToPharmacologyInteractions	antagonist	890	LINTITRIPT	LINTITRIPT	CHEMBL249973	
NPY5R	TTDC00089	4889	TTD	antagonist	DPR000047	FR-79620	FR-79620	CHEMBL6893	
CD8B	1707	926	GuideToPharmacologyInteractions	agonist	4942	GM-CSF	REGRAMOSTIM	CHEMBL2107881	
ADRB1	TTDS00036	153	TTD	antagonist	DAP000304	ESMOLOL	ESMOLOL	CHEMBL768	
TTK	2264	7272	GuideToPharmacologyInteractions	inhibitor	9238	COMPOUND 27F [PMID: 25625617]			
GABRA3	406	2556	GuideToPharmacologyInteractions	antagonist	4197	GABAZINE	GABAZINE	CHEMBL32503	
LSS	2434	4047	GuideToPharmacologyInteractions	inhibitor	6718	COMPOUND 9 [PMID: 22533316]			
SLC6A19	939	340024	GuideToPharmacologyInteractions	inhibitor	7601	BENZATROPINE	BENZTROPINE	CHEMBL1201203	
ESRRA	622	2101	GuideToPharmacologyInteractions	agonist	2829	BIOCHANIN A	BIOCHANIN	CHEMBL131921	
VIPR2	372	7434	GuideToPharmacologyInteractions	antagonist	2266	N-STEARYL-[NLE17] NEUROTENSIN-(6-11)/VIP-(7-28)	AZELAIC ACID	CHEMBL1238	
DCLK1	2005	9201	GuideToPharmacologyInteractions	inhibitor	8207	COMPOUND 5G [PMID: 20483621]			
GSR	TTDS00121	2936	TTD	antagonist	DPR000057	GYKI-47261	CHEMBL197726	CHEMBL197726	
P2RY2	324	5029	GuideToPharmacologyInteractions	agonist	1713	ATP	ADENOSINE TRIPHOSPHATE	CHEMBL14249	
GABBR2	242	9568	GuideToPharmacologyInteractions	agonist	1080	3-APMPA			
GALR3	245	8484	GuideToPharmacologyInteractions	antagonist	3896	M15	GALANTIDE	CHEMBL526003	
C3AR1	31	719	GuideToPharmacologyInteractions	antagonist	5777	FLTCHAAR			
CYP1A1	1318	1543	GuideToPharmacologyInteractions	inhibitor	8748	5H3'FPE			
KCNN1	381	3780	GuideToPharmacologyInteractions	channel blocker	2319	TAMAPIN			
GABRE	GABRE	2564	ChemblInteractions	agonist	CHEMBL979	MEPROBAMATE	MEPROBAMATE	CHEMBL979	
FFAR1	2864	2864	GuideToPharmacologyInteractions	inhibitor	8468	ME0328			
CHRM2	14	1129	GuideToPharmacologyInteractions	allosteric modulator	348	THIOCHROME			
KCNC2	KCNC2	3747	ChemblInteractions	blocker	CHEMBL1200728	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	CHEMBL1200728	
P2RX7	P2RX7	5027	ChemblInteractions	antagonist	CHEMBL3545108	AZD9056	AZD9056	CHEMBL3545108	
TOP1	TOP1	7150	ChemblInteractions	inhibitor	CHEMBL2107313	BECATECARIN	BECATECARIN	CHEMBL2107313	
RBX1	RNF75	9978	ChemblInteractions	inhibitor	CHEMBL468	THALIDOMIDE	THALIDOMIDE	CHEMBL468	
SCNN1A	SCNN1	6337	ChemblInteractions	blocker	CHEMBL585	TRIAMTERENE	TRIAMTERENE	CHEMBL585	
ITGAV	MSK8	3685	ChemblInteractions	antagonist	CHEMBL429876	CILENGITIDE	CILENGITIDE	CHEMBL429876	
ADRA2C	ADRA2L2	152	ChemblInteractions	agonist	CHEMBL2106195	DEXMEDETOMIDINE HYDROCHLORIDE	DEXMEDETOMIDINE HYDROCHLORIDE	CHEMBL2106195	
ROCK1	ROCK1	6093	ChemblInteractions	inhibitor	CHEMBL3545065	VEROSUDIL	VEROSUDIL	CHEMBL3545065	
PDGFC	PDGFC	56034	MyCancerGenomeClinicalTrial	inhibitor	SUNITINIB	SUNITINIB	SUNITINIB	CHEMBL535	
NDUFAF3	C3orf60	25915	ChemblInteractions	inhibitor	CHEMBL3545320	ME-344	ME-344	CHEMBL3545320	
PPAT	GPAT	5471	ChemblInteractions	inhibitor	CHEMBL1542	AZATHIOPRINE	AZATHIOPRINE	CHEMBL1542	
MTNR1A	287	4543	GuideToPharmacologyInteractions	antagonist	7712	AZD7325	AZD7325	CHEMBL1783282	
SLC10A2	960	6555	GuideToPharmacologyInteractions	inhibitor	6530	SC-435			
EPHA3	1823	2042	GuideToPharmacologyInteractions	inhibitor	8170	COMPOUND 8H [PMID: 21561767]			
HCAR2	312	338442	GuideToPharmacologyInteractions	allosteric modulator	5794	COMPOUND 42 [PMID: 22420767]			
PAK2	2134	5062	GuideToPharmacologyInteractions	allosteric modulator	8936	COMPOUND 3 [PMID: 26191365]			
CASP4	ICH2	837	ChemblInteractions	inhibitor	CHEMBL197672	EMRICASAN	EMRICASAN	CHEMBL197672	
CACNA2D1	CACNL2A	781	ChemblInteractions	modulator	CHEMBL3545257	MIROGABALIN BESYLATE	MIROGABALIN BESYLATE	CHEMBL3545257	
PSMD3	PSMD3	5709	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
PSMB1	PSC5	5689	ChemblInteractions	inhibitor	CHEMBL371405	MARIZOMIB	MARIZOMIB	CHEMBL371405	
KCNH2	TTDS00147	3757	TTD	blocker	DAP000495	DOFETILIDE	DOFETILIDE	CHEMBL473	
NR1H3	602	10062	GuideToPharmacologyInteractions	agonist	2752	27-HYDROXYCHOLESTEROL			
CHRNA4	TTDS00303	1137	TTD	antagonist	DAP000027	MECAMYLAMINE	MECAMYLAMINE (CHEMBL267936)	CHEMBL267936	
PSMC1	PSMC1	5700	ChemblInteractions	inhibitor	CHEMBL3545432	IXAZOMIB CITRATE	IXAZOMIB CITRATE	CHEMBL3545432	
PTK2	FAK	5747	ChemblInteractions	inhibitor	CHEMBL1084546	PF-562271	PF-562271	CHEMBL1084546	
POLD1	POLD	5424	ChemblInteractions	inhibitor	CHEMBL1637	GEMCITABINE HYDROCHLORIDE	GEMCITABINE HYDROCHLORIDE	CHEMBL1637	
PARP1	ADPRT	142	ChemblInteractions	inhibitor	CHEMBL1094636	NIRAPARIB	NIRAPARIB	CHEMBL1094636	
TNNC2	TNNC2	7125	ChemblInteractions	activator	CHEMBL3039529	TIRASEMTIV	TIRASEMTIV	CHEMBL3039529	
GRM5	GPRC1E	2915	ChemblInteractions	antagonist	CHEMBL3545161	LY545694	LY545694	CHEMBL3545161	
ENPP2	2901	5168	GuideToPharmacologyInteractions	inhibitor	9561	GLPG1690			
CD86	CD28LG2	942	ChemblInteractions	inhibitor	CHEMBL1201823	ABATACEPT	ABATACEPT	CHEMBL1201823	
CENPE	TTDC00064	1062	TTD	inhibitor	DCL000124	GSK-923295			
BIRC2	2791	329	GuideToPharmacologyInteractions	antagonist	7710	AZD5582	CHEMBL3108827	CHEMBL3108827	
ATP2A2	812	488	GuideToPharmacologyInteractions	inhibitor	8882	ENOXACIN	ENOXACIN	CHEMBL826	
KCNK9	520	51305	GuideToPharmacologyInteractions	inhibitor	2506	R-(+)-METHANANDAMIDE	METHANANDAMIDE	CHEMBL120526	
GABRA1	GABRA1	2554	ChemblInteractions	agonist	CHEMBL979	MEPROBAMATE	MEPROBAMATE	CHEMBL979	
CAMK2D	1558	817	GuideToPharmacologyInteractions	inhibitor	8158	COMPOUND 27 [PMID: 18337095]			
PSMD6	KIAA0107	9861	ChemblInteractions	inhibitor	CHEMBL451887	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
GPR55	109	9290	GuideToPharmacologyInteractions	antagonist	741	AM281	CHEMBL476833	CHEMBL476833	
GP1BA	2811	2811	GuideToPharmacologyInteractions	inhibitor	8728	"(5E)-1-(4-FLUOROPHENYL)-5-[(5-METHYLTHIOPHEN-2-YL)METHYLIDENE]-2-SULFANYLIDENE-1,3-DIAZINANE-4,6-DIONE"			
IFNAR1	IFNAR	3454	ChemblInteractions	agonist	CHEMBL2109047	INTERFERON ALFA-N3	INTERFERON ALFA-N3	CHEMBL2109047	
RYR1	747	6261	GuideToPharmacologyInteractions	"activator,antagonist"	707	CA2+	cA2	CHEMBL2109588	
ADCY6	1283	112	GuideToPharmacologyInteractions	inhibitor	5233	NKY80			
KCNN2	382	3781	GuideToPharmacologyInteractions	activator	707	CA2+	cA2	CHEMBL2109588	
MC1R	282	4157	GuideToPharmacologyInteractions	antagonist	1327	ASIP [90-132 (L89Y)]			
GUCY1A3	GUC1A3	2982	ChemblInteractions	activator	CHEMBL730	NITROGLYCERIN	NITROGLYCERIN	CHEMBL730	
GCGR	251	2642	GuideToPharmacologyInteractions	antagonist	3491	BAY27-9955	CHEMBL1933348	CHEMBL1933348	
MMP7	TTDR00029	4316	TTD	inhibitor	DCL000003	BMS 275291	REBIMASTAT	CHEMBL76222	
IL2RA	IL2RA	3559	ChemblInteractions	antagonist	CHEMBL2108370	INOLIMOMAB	INOLIMOMAB	CHEMBL2108370	
GJA4	725	2701	GuideToPharmacologyInteractions	inhibitor	2447	FLUFENAMIC ACID	FLUFENAMIC ACID	CHEMBL23588	
MAP2K4	2065	6416	GuideToPharmacologyInteractions	inhibitor	346	STAUROSPORINE	STAUROSPORINE	CHEMBL388978	
SLCO1A2	1219	6579	GuideToPharmacologyInteractions	inhibitor	4570	RIFAMYCIN SV			
TUBB2A	TUBB2	7280	ChemblInteractions	inhibitor	CHEMBL378544	VINBLASTINE SULFATE	VINBLASTINE SULFATE	CHEMBL378544	
GHR	TTDS00076	2690	TTD	agonist	DCL000796	EP-51216	CHEMBL324218	CHEMBL324218	
ESR2	ESTRB	2100	ChemblInteractions	agonist	CHEMBL3545092	CR 1447	CR 1447	CHEMBL3545092	
HTR3B	378	9177	GuideToPharmacologyInteractions	agonist	218	2-METHYL-5-HT	CHEMBL266591	CHEMBL266591	
KCNH7	ERG3	90134	ChemblInteractions	blocker	CHEMBL113461	TEDISAMIL	TEDISAMIL	CHEMBL113461	
P2RY11	327	5032	GuideToPharmacologyInteractions	agonist	1711	2MESATP	CHEMBL336208	CHEMBL336208	
SSTR2	356	6752	GuideToPharmacologyInteractions	antagonist	2026	BIM 23454			
MYH7	MYHCB	4625	ChemblInteractions	activator	CHEMBL1800955	OMECAMTIV MECARBIL	OMECAMTIV MECARBIL	CHEMBL1800955	
CNR1	CNR	1268	ChemblInteractions	agonist	CHEMBL2218896	NABILONE	NABILONE	CHEMBL2218896	
NDUFB4	NDUFB4	4710	ChemblInteractions	inhibitor	CHEMBL3545320	ME-344	ME-344	CHEMBL3545320	
BDKRB2	TTDC00111	624	TTD	antagonist	DCL000050	ANATIBANT	ANATIBANT	CHEMBL2107725	
CXCR6	73	10663	GuideToPharmacologyInteractions	agonist	3662	[125I]CXCL16 (HUMAN)	HYPERFORIN	CHEMBL501711	
INSR	IR	3643	TALC	inhibitor	BMS-754807	BMS-754807	BMS-754807	CHEMBL575448	
PARP3	ADPRT3	10039	ChemblInteractions	inhibitor	CHEMBL506871	VELIPARIB	VELIPARIB	CHEMBL506871	
PDE7B	PDE7B	27115	ChemblInteractions	inhibitor	CHEMBL628	PENTOXIFYLLINE	PENTOXIFYLLINE	CHEMBL628	
GPR183	81	1880	GuideToPharmacologyInteractions	agonist	4352	7β-HYDROXYCHOLESTEROL	CHEMBL497834	CHEMBL497834	
SLC5A1	915	6523	GuideToPharmacologyInteractions	inhibitor	9395	TOFOGLIFLOZIN	TOFOGLIFLOZIN	CHEMBL2110731	
SSTR1	355	6751	GuideToPharmacologyInteractions	antagonist	2029	[L-TYR8]CYN 154806			
KCNG2	KCNF2	26251	ChemblInteractions	blocker	CHEMBL113461	TEDISAMIL	TEDISAMIL	CHEMBL113461	
PRKD1	PRKD1	5587	MyCancerGenome	inhibitor	SOPHORETIN	SOPHORETIN	QUERCETIN	CHEMBL50	
P2RY14	330	9934	GuideToPharmacologyInteractions	agonist	6202	2-THIO-UDP			
ITPKA	1447	3706	GuideToPharmacologyInteractions	inhibitor	9548	GNF362	OXAMNIQUINE	CHEMBL847	
ERBB3	HER3	2065	ChemblInteractions	inhibitor	CHEMBL2109406	Patritumab	Patritumab	CHEMBL2109406	
SLC6A1	GABATR	6529	ChemblInteractions	inhibitor	CHEMBL1695	TIAGABINE HYDROCHLORIDE	TIAGABINE HYDROCHLORIDE	CHEMBL1695	
DYRK4	2013	8798	GuideToPharmacologyInteractions	inhibitor	8167	LEUCETTINE L41			
SLC12A2	969	6558	GuideToPharmacologyInteractions	inhibitor	4839	FUROSEMIDE	FUROSEMIDE	CHEMBL35	
TXNRD1	GRIM12	7296	ChemblInteractions	inhibitor	CHEMBL1200978	ARSENIC TRIOXIDE	ARSENIC TRIOXIDE	CHEMBL1200978	
GRIA4	GLUR4	2893	ChemblInteractions	positive allosteric modulator	CHEMBL1276138	FARAMPATOR	FARAMPATOR	CHEMBL1276138	
ADA	1230	100	GuideToPharmacologyInteractions	inhibitor	4805	PENTOSTATIN	PENTOSTATIN	CHEMBL1580	
PCSK9	2388	255738	GuideToPharmacologyInteractions	inhibitor	7343	EVOLOCUMAB	EVOLOCUMAB	CHEMBL2364655	
NTRK2	TRKB	4915	ChemblInteractions	inhibitor	CHEMBL3545179	AZD-7451	AZD-7451	CHEMBL3545179	
PSMC3IP	PSMC3IP	29893	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
ALOX5	LOG5	240	ChemblInteractions	inhibitor	CHEMBL421	SULFASALAZINE	SULFASALAZINE	CHEMBL421	
PSMB10	PSMB10	5699	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
CHRNA3	NACHRA3	1136	ChemblInteractions	partial agonist	CHEMBL2103815	LARAZOTIDE ACETATE	LARAZOTIDE ACETATE	CHEMBL2103815	
ATP4A	ATP4A	495	ChemblInteractions	inhibitor	CHEMBL2146133	ESOMEPRAZOLE MAGNESIUM	ESOMEPRAZOLE MAGNESIUM	CHEMBL2146133	
IL6R	2310	3570	GuideToPharmacologyInteractions	agonist	4998	IL-6			
CACNA1B	533	774	GuideToPharmacologyInteractions	channel blocker	2525	PB2+	CHEMBL157769	CHEMBL157769	
KCNJ10	TTDS00431	3766	TTD	binder	DAP000921	GLYCODIAZINE	GLYMIDINE	CHEMBL1697838	
FPR2	223	2358	GuideToPharmacologyInteractions	antagonist	6264	FPRL1-INHIBITOR PROTEIN			
KMT5B	2717	51111	GuideToPharmacologyInteractions	inhibitor	8949	A-196			
IL1R1	1905	3554	GuideToPharmacologyInteractions	inhibitor	6972	ANAKINRA	ANAKINRA	CHEMBL1201570	
CRHR2	213	1395	GuideToPharmacologyInteractions	agonist	922	UROTENSIN 1 (FISH)			
PRLHR	337	2834	GuideToPharmacologyInteractions	agonist	1873	PRRP-31	CHEMBL429731	CHEMBL429731	
GABRA4	407	2557	GuideToPharmacologyInteractions	allosteric modulator	4366	[3H]CGS8216			
PRMT5	1256	10419	GuideToPharmacologyInteractions	inhibitor	9527	LLY-283			
ICAM1	TTDC00192	3383	TTD	antisense	DCL000420	ALICAFORSEN	ALICAFORSEN	CHEMBL2108326	
