gene	lung_mean_CRISPR
MAPK14	-0.238071228
EIF5AL1	-0.348550226
HECTD2	0.044170862
FGFBP3	-0.071247275
CACUL1	0.123462798
CSE1L	-1.259861587
SYT9	0.053498813
LDLRAD3	0.04391539
PSMA8	0.034534279
CSF1	-0.034329767
C11orf40	-0.062765906
OR52I2	0.167527875
OR51E1	0.034761832
XRRA1	-0.134627369
CSF1R	-0.104333785
UBQLNL	0.031367828
MUC15	0.073972071
FAM76B	-0.106058928
SESN3	0.039441004
PIWIL4	0.100237256
CSF2	-0.041245455
CSF2RA	
ARHGAP42	
KBTBD3	-0.138955807
KDELC2	-0.078555917
CSF2RB	-0.080628442
LAYN	-0.018578284
TTC36	-0.083451322
CSF3	0.041807009
CSF3R	-0.17155279
PLEKHA7	-0.033005994
SPTY2D1	0.097889418
TMEM86A	-0.109366455
OR10A5	0.130787128
DNHD1	-0.022932729
PRICKLE1	-0.162599406
AMDHD1	-0.033655301
SLC2A14	0.045822696
CSH1	0.291237471
BCDIN3D	-0.414351516
ALG10B	-0.00416836
CSH2	-0.455038102
GLIPR1L2	0.009755252
ZNF664	0.219198997
ETFRF1	
CSHL1	-0.093546633
CPNE8	0.119470252
WDR66	-0.115362774
BEST3	-0.141053392
E2F7	0.179572873
CSK	0.002718859
KRT80	-0.049110051
CFAP54	
A2ML1	0.173826385
C12orf66	0.123935786
CSN1S1	0.187078858
C12orf60	0.07840233
FBXL14	-0.113514231
CSN2	-0.119625256
RAD9B	-0.006865311
CSN3	0.192514547
LACC1	0.071261154
HNRNPA1L2	-0.403334993
ST13P4	
B3GLCT	
CSNK1A1	-0.585595327
RDH12	0.27986921
GSC	0.076508265
SERPINA12	-0.039628745
PRIMA1	-0.034491235
MIPOL1	-0.113066017
CSNK1D	-0.138856433
SLC38A6	-0.011479139
CSNK1E	-0.03398546
C14orf37	-0.018081033
ABHD12B	-0.093097921
PTGR2	0.06310912
FAM161B	-0.271109973
LRRC74A	-0.033132433
CSNK1G2	-0.12675126
ISM2	-0.100497167
CEP128	0.220903394
MDP1	-0.246666878
TTC7B	-0.072026683
LRFN5	0.098277957
CSNK1G3	0.15012842
CSNK2A1	-0.15437823
LYSMD4	0.155013548
FAM81A	0.063844508
GCOM1	
C15orf65	0.09944087
C15orf61	0.218599559
HAPLN3	0.057678174
MESP2	0.008951827
CSNK2A2	-0.001970795
TMCO5A	-0.247975044
SPATA8	0.138739385
NRG4	0.037032424
ADRA1D	0.058625211
CSNK2B	-1.335977928
ZSCAN29	-0.013749519
TTBK2	0.129208714
CDAN1	-1.062585981
OTOA	0.033328945
VCAN	-0.082872957
CARMIL2	
KCTD19	-0.098365701
CMTM4	-0.006534822
CMTM2	-0.042815216
TEKT5	-0.078919001
NCAN	-0.172087787
RNF151	-0.094842367
FBXL16	-0.098736336
CSPG4	-0.290272462
IL34	-0.229761268
ZNF597	-0.003276931
TMED6	-0.037358943
CSRP1	0.093976951
ZNF785	-0.186936806
ZNF688	-0.276754063
PRSS36	0.010197854
C16orf89	-0.14999413
C16orf71	0.030280633
CSRP2	0.047381304
MGAT5B	0.243632242
TOM1L2	0.248721396
B3GNTL1	0.107581639
RBFOX3	-0.210832585
CD300LF	-0.020518697
C17orf77	-0.06100554
DNAH2	-0.165569539
RTN4RL1	-0.110141384
EFCAB3	-0.085603179
SLC25A10	-0.593375982
SLC47A2	-0.143439255
CFAP52	
CCDC42	0.281700916
PIK3R6	
SLFN13	0.039196909
SLC35G3	-0.277369763
UNC45B	-0.161892629
CD300LG	-0.14636495
CST1	0.018479271
KIF18B	-0.48033615
RUNDC1	-0.071856596
EME1	-0.077986664
ADRA1B	0.082334802
CST2	-0.090732925
TMEM199	-0.935736458
PROCA1	-0.403518087
DHRS13	-0.123961324
KCTD11	-0.171307292
CST3	-0.211703679
NOTUM	0.075476121
TMC8	-0.020424409
TRIM16L	0.001624898
WIPF2	-0.088559948
KRT25	-0.253381928
CST4	0.12757463
KRT17P1	
CST5	0.089052818
STARD6	0.030209507
C18orf25	0.077487923
CCBE1	-0.000603705
CBLN2	-0.027317108
CST6	-0.233051112
SLC25A52	-0.0856388
ANKRD29	0.150457633
APCDD1	0.234489603
CSTA	-0.189285031
CSTB	0.022014104
VSIG10L	-0.22203729
SPACA6	
ZNF480	0.150491996
ZNF534	0.172342308
ZNF578	-0.088625127
ERVV-1	0.055938268
C19orf18	0.061161118
ZNF418	-0.112469745
ZNF417	-0.041017932
ZNF548	0.104110329
PPM1N	-0.074012453
CSTF1	-1.165283004
KLC3	-0.212057196
ZNF560	0.1712894
HIPK4	0.056967297
TMC4	-0.08125885
CSTF2	
TPM3P9	
ZNF524	-0.139411386
ZNF784	0.015714356
ZNF563	-0.125491102
SPC24	-1.739775071
CCDC155	0.075699473
CSTF3	-0.969176923
SIX5	-0.034534222
IGFL2	-0.089354401
ZNF420	0.078957821
ZNF565	0.161501336
NLRP4	-0.01381289
ZNF542P	
ZNF582	0.342392511
ZNF583	0.028321079
FAM98C	-0.303655823
CAPN12	0.050565398
DPY19L3	0.006614478
ADRA1A	0.253377571
LGALS16	-0.060744045
TTC9B	0.095450191
TICAM1	-0.082901724
CIRBP-AS1	
ZNRF4	-0.01210415
ZNF599	-0.213782991
FAM187B	-0.060106372
CILP2	-0.206619441
ZNF558	-0.030800306
CDC42EP5	0.105761033
ZNF98	-0.122197082
NKX2-5	-0.398695672
ZNF738	
ZNF714	-0.316664051
ZNF681	-0.029236729
ATP8B3	-0.099521746
DIRAS1	-0.04296227
ZNF555	-0.254029546
ZNF569	-0.127975337
ZNF570	0.123465526
SYT6	-0.028424042
C1orf74	-0.428146339
CREB3L4	-0.080621074
BROX	0.148391991
SAMD13	-0.024801253
PHF13	-0.212093589
CIART	-0.222429299
TMEM56	-0.198669863
UBE2U	0.014955671
CTBS	-0.080763619
SLC35F3	-0.076661408
CTBP1	0.140320205
PTPRVP	
HFE2	-0.386092743
ANKRD35	-0.179827084
FAM163A	-0.026509408
B3GALNT2	0.147131425
CTBP2	-0.39026314
MFSD4A	
PM20D1	-0.049520691
GCSAML	-0.07204314
SLC30A7	-0.17048141
CCDC27	-0.107110619
ZNF436-AS1	
CTF1	-0.027330846
MOB3C	-0.166206804
GLIS1	-0.02671524
CTGF	0.160481295
RC3H1	-0.267071244
ZNF362	0.033794496
DCST1	-0.223695284
CTH	0.135779822
CNIH3	0.096489781
LINC01341	
MANEAL	-0.034120378
IL23R	0.107369404
CTLA4	-0.091652096
EXOC8	-0.543224975
PDIK1L	-0.072715433
BNIPL	-0.265745795
CLDN19	-0.259110523
CFAP57	
BTBD19	
CCDC17	-0.134817448
LRRC71	-0.176022474
C1orf64	-0.017211481
CTNNA2	-0.136107231
CHIAP2	
PYHIN1	0.070440178
SPATA45	0.155672688
FAM71A	-0.020961868
ADIG	-0.001538658
CTNS	0.020035346
WFDC5	0.149210316
PRNT	
C20orf196	-0.378585932
CTNNB1	-0.140300393
COMMD7	-0.219578738
LSM14B	0.149538843
LIPI	-0.087519321
AANAT	-0.172440833
ADRA2A	-0.045385157
CTNND1	-0.081874719
ABCC13	
LCA5L	0.039134762
SIK1	-0.020061922
CTNND2	0.057756442
UMODL1-AS1	
SLC9B1	-0.569277814
CCT8L2	0.025806507
AIFM3	-0.251967112
HSCB	-0.724217061
CCDC117	-0.103442835
HORMAD2	-0.152387003
DUSP18	0.04320724
MORC2-AS1	
CTPS1	-0.860177985
CHADL	-0.045235284
NFAM1	0.104197473
PNPLA5	-0.025170199
CDPF1	-0.209292563
TTL	-0.114506387
CBWD2	-0.8717891
SATB2-AS1	
SMYD1	-0.062963565
C2orf15	-0.095461961
LINC01931	
CTRL	0.140621839
COPS9	
OR6B3	-0.129062953
COMMD1	-0.010405222
PROM2	0.018140005
ANKAR	0.120394711
TTC30B	-0.020051777
ITPRIPL1	-0.042885846
WTH3DI	
CTSB	0.091930457
CTSD	0.161500506
TCF23	0.097413021
PUS10	-0.039640576
ADRA2B	-0.162735197
CTSE	0.120916386
LINC01106	
10-Sep	-0.044963731
KANSL1L	0.144842281
PLB1	0.058025091
CTSG	0.141206941
ZSWIM2	0.035767038
ZNF385B	0.15247592
CCNYL1	0.071567201
CTSH	-0.168071715
PPP1R1C	0.031664605
SGO2	
C2CD6	
SLC38A11	-0.292170895
CCDC140	0.092660417
SLC23A3	-0.093808142
GPBAR1	-0.145008575
FAHD2B	-0.227550341
MYADML	
FAM84A	-0.089519622
RMDN2	0.058608742
CTSL	0.028182094
GDF7	0.083887469
SLC16A14	-0.058630059
CTSV	-0.046473242
MSL3P1	
ASPRV1	-0.170580436
WDSUB1	-0.059419808
GPR155	-0.144089186
TTC14	-0.337020361
DTX3L	0.051643112
FAM19A4	0.013822636
SGO1	
PP2D1	0.141683955
EFHB	0.071415528
PPM1L	-0.0309292
WDR49	0.06975558
LRRC34	0.108450928
CPNE9	-0.014478326
DPPA2	-0.490525449
CCDC80	0.003321077
BTLA	0.128162366
CTSO	-0.13072687
CCDC12	-0.406758427
MB21D2	-0.050190844
PPP4R2	-0.68367286
ADRA2C	0.073071276
CTSS	-0.062692076
XXYLT1	-0.257983073
RNF38	-0.014927926
GLIPR2	-0.104340903
ROPN1B	0.121009801
ZCWPW2	-0.238634805
CTSW	-0.141486603
CMC1	-0.208482971
NEK10	-0.115909212
CCDC50	-0.018895378
SPICE1	-0.314709507
CMTM8	-0.096876901
CTSZ	0.006975917
FGD5	-0.246745093
CUX1	0.154385966
CNTN4	0.036434339
CX3CR1	0.146243881
IGSF11	0.036334975
C3orf30	0.155510737
ZNF827	-0.014639896
CXADR	-0.067859312
SH3D19	0.029173277
NFXL1	0.111565935
NIPAL1	0.12501004
PAQR3	-0.308595625
SCFD2	-0.110458246
MGAT4D	0.058463405
ZNF595	
FAM218A	0.014222691
JAKMIP1	0.172857483
CYB5A	0.118587635
THAP6	-0.085928486
C4orf26	-0.027086878
KLB	0.06077928
FAM53A	-0.058605941
PPM1K	0.034504919
C4orf45	0.069410566
TRMT44	0.094681939
ADRB1	0.07709833
RASGEF1B	0.004297119
SLC38A9	-0.011806308
SLC36A2	0.07682895
CEP120	0.012919341
SLC25A48	-0.310046019
MBLAC2	-0.037588028
CYB561	-0.236603487
SRFBP1	-1.006815179
PLEKHG4B	-0.064612621
CYBA	-0.01883061
MARVELD2	-0.006343268
IRX2	0.146931527
BTNL9	0.130104247
CYBB	
ARSK	-0.186564222
FAM81B	-0.022135917
TTC23L	0.134162712
LOC153684	
CYC1	-0.88147403
CCDC112	-0.026143234
PPP1R2P3	
FAM71B	-0.054757057
SH3RF2	-0.338414324
PLAC8L1	-0.13118925
RNF145	-0.205923176
CYLC2	0.140132394
ZC2HC1B	0.122015932
ADRB2	-0.035629443
CYLD	-0.238384497
SNRNP48	-0.6003097
CNKSR3	0.040418112
RAET1L	-0.06478059
LINC01312	
SLC2A12	-0.083743831
MBOAT1	-0.072643052
HDGFL1	-0.114995144
PNLDC1	-0.01695529
NKAIN2	0.127741012
KHDC3L	-0.160796502
CYP1A1	0.039758401
CFAP206	
CYP1A2	-0.215619128
CCDC167	-0.022479462
CYP1B1	0.124002018
RUNDC3B	0.132823441
ABCA13	0.025029277
BMT2	
FMC1	
AMOT	
CYP2A6	0.080392665
VKORC1L1	-0.333486593
AMOTL1	0.04216914
IQUB	0.23506298
KCTD7	-0.12430621
CYP2A7	0.199958853
C7orf66	
ADRB3	0.0828176
GIMAP8	0.037783554
CRYGN	-0.110851827
ZNF425	-0.251896534
ZNF746	0.09575338
ATP6V0E2	0.147664316
CYP3A7	0.123071443
SLC2A7	-0.077817974
AMZ1	-0.126768732
SBDSP1	
NSUN5P1	
RBM33	-0.437202335
AGR3	0.143270595
CYP2B6	0.024450375
CYP2B7P	
CYP2C19	0.084115544
CYP2C8	-0.01615246
CYP2C9	0.032349017
GRK2	
CYP2C18	-0.215874048
CYP2D7	
CYP2D6	0.253588995
GRK3	
CYP2E1	-0.095557108
CYP2F1	-0.076065658
PRAG1	
CYP2J2	-0.094472072
PEBP4	-0.116221439
CDCA2	-0.108902303
FER1L6-AS2	
TMEM65	0.187941398
ANKRD46	0.063863761
ESCO2	-0.36377887
FBXO16	0.08795145
CYP3A4	0.056858279
FAM84B	-0.149559217
C8orf37	-0.097399155
VPS13B	0.077161494
CYP3A5	-0.03089919
SLC7A13	-0.156077714
TMEM74	0.160426178
FAM91A1	-0.237104985
C8orf48	0.212642685
MCMDC2	-0.106219268
CLVS1	0.008337529
NKX6-3	-0.103371976
SBSPON	0.058091993
C9orf66	-0.036872593
ADSL	-1.165253115
CYP4B1	-0.172659448
LINGO2	0.085545186
NXNL2	-0.148668405
MAMDC4	0.096631543
LCN6	-0.328645337
AK8	-0.129244294
CYP7A1	0.054149314
TTLL11	-0.277212824
RASEF	-0.157834079
HSD17B7P2	
CYP8B1	-0.009679964
TTC39B	0.264583511
FAM201A	
TRMT10B	0.00116073
TTC16	0.187692537
CYP11A1	-0.05547928
FREM1	0.060272244
KIAA2026	
ATP8B5P	
ZNF483	0.165694397
CYP11B1	0.104013332
TSTD2	0.170402136
ZNF782	-0.098762599
PRUNE2	-0.037490746
CYP11B2	0.179544827
ZNF645	
CSAG1	
FMR1NB	
FAAH2	
ZXDB	
CYP17A1	-0.033898952
FAM47A	
MOSPD2	
ARHGAP36	
RIBC1	
AKAP14	
CYP19A1	-0.027946407
RHOXF1	
MAGEB6	
CXorf65	
AWAT1	
AWAT2	
ZDHHC15	
USP51	
CYP21A2	-0.077838303
TCEAL6	
H2BFWT	
ADSS	-0.490766708
CYP21A1P	
CXorf38	
FAM122B	
CYP24A1	0.093999102
RBMY2EP	
RBMY2FP	
USP54	0.01232388
NKX2-3	-0.099119045
CYP27A1	-0.02674061
CYP27B1	-0.366819124
CYP51A1	0.077528404
SLC5A12	0.169191113
AARS	-1.691177943
AP2A1	-0.032923051
DAB1	-0.035875025
PATE1	0.29075554
DAB2	0.148217721
DACH1	-0.067637824
LDHAL6A	0.16605844
C11orf42	0.063786653
DAD1	-1.460379713
CLEC12A	-0.067011383
CLECL1	0.015316193
CD55	-0.000337619
TMTC3	-0.069280232
ALDH1L2	0.049164853
LMNTD1	0.047199686
DAG1	0.058006006
DENND5B	0.076712625
DGKA	-0.218352422
GRASP	-0.363197477
DGKB	0.176797982
SLC5A8	-0.074352725
PPTC7	-0.119802738
CCDC63	-0.120456281
CCDC60	0.042384185
DGKG	0.039687843
DGKH	-0.032738982
CCDC122	0.170095952
GPR180	-0.033779722
DGKQ	0.035193531
AP2A2	0.288085701
DAO	-0.186142787
STOML3	0.120338386
DAP	-0.082500291
FAM71D	0.184756523
TMEM229B	-0.100366669
SYNE3	0.077248023
CLEC14A	-0.170123032
DAPK1	-0.011660458
REM2	-0.015348598
DAPK3	0.10394112
SAMD15	-0.132239408
NOP9	-1.035640094
EML5	-0.117932925
STRC	-0.067182279
DARS	-1.167142455
TBC1D21	-0.023403644
DNAAF4	
DAXX	-0.405395618
OTUD7A	-0.051397849
SPRED1	0.197138257
PGBD4	-0.214101077
DAZL	-0.004945896
ADAL	-0.050137438
ZFPM1	-0.042497164
ADAD2	-0.048683652
AP1B1	-0.126616467
C16orf82	
DBH	0.096073421
DBI	-0.199659904
ZFP1	0.164263221
ANKFN1	-0.015323704
10-Mar	-0.033956501
MFSD6L	-0.06680412
SLFN5	0.106656733
NAGS	0.034413301
RETREG3	
TMEM92	0.03789533
PHOSPHO1	-0.239012223
RHBDL3	-0.18554284
TRPV3	0.072681767
SLC16A11	-0.083029214
FBXO39	0.029339028
SPPL2C	-0.276553377
KRT28	-0.191370606
ZNF519	-0.088828839
DBN1	-0.032230947
DBP	-0.120477551
DBT	-0.145786297
ZNF836	0.092831328
ZNF610	0.105334044
ZNF600	-0.075171502
ZNF320	-0.011403366
ZNF497	0.061181674
ZNF550	-0.022771587
ZNF296	-0.029675979
DEDD2	0.140886405
OR7D2	0.089013742
AP2B1	-0.099916312
DCC	0.157923685
ZNF579	-0.098907536
ZNF791	0.071747902
ZNF564	-0.069451224
ZNF709	0.205138838
ZNF433	-0.039345626
ZNF114	-0.037676528
ZNF567	0.108684568
ZNF383	-0.305662035
ZNF781	0.050602721
EID2	-0.150363758
ZNF780B	-0.215541913
LGI4	-0.108703155
ECI1	-0.08559396
ZNF676	-0.923566563
ZNF100	-0.383860997
ZNF540	0.008277618
DCK	0.104718683
GBP6	0.001025362
DCN	-0.018634596
PLPPR5	
FNDC7	-0.085968585
DENND1B	-0.009962059
DCTD	0.164527083
TDRD5	-0.150824602
TOR1AIP2	-0.0778844
ACE	-0.212301572
CALML6	-0.175400412
IFNLR1	-0.421684941
CYP4Z2P	
CITED4	-0.036712589
SPRR4	0.218567068
KANK4	-0.082941975
SASS6	-1.089464905
DCT	-0.073217193
SDE2	-1.531748263
CNST	0.177846638
DCTN1	-0.542628481
AP1G1	-0.19485148
HFM1	-0.052375899
PAQR7	-0.069145798
DCX	
TTC24	-0.197649788
UBL4B	-0.22082979
DDB1	-1.7494479
WFDC13	0.034146313
APCDD1L	0.171735728
DDB2	-0.119749964
LRRN4	0.04998656
TTLL9	0.19713853
DDC	0.027705385
AKR1C1	-0.189153567
CCDC116	-0.136599762
AKR1C2	0.236103213
CABP7	-0.097618909
TMPRSS6	-0.031597832
APOBEC3H	0.009776308
WBP2NL	-0.09384342
GADD45A	0.097635767
DAW1	0.106260186
LONRF2	-0.007553658
DDIT3	-0.238812653
AEBP1	-0.268263653
DDOST	-1.018948107
CCDC138	-0.055805058
ADGRF3	
TEX44	
DDT	
FAM171B	-0.154199209
C1QL2	0.089807882
DDX1	-0.558836145
UBXN2A	0.205209564
DDX3X	
DDX5	-0.758696461
CLEC4F	-0.044227413
DQX1	-0.093082453
DDX6	-0.733306499
PARP15	-0.030805856
DMXL1	-0.078436253
DNAJB8	-0.139848293
GPR156	0.108130649
DHX8	-1.447430488
XIRP1	0.058862897
RNF168	-0.661461696
AES	-0.221875143
DHX9	-0.737832476
CHST13	0.005450184
DDX10	-1.335914846
PRICKLE2	-0.105100999
KBTBD12	-0.130276382
SPATA5	-1.037773562
DHX15	-1.270369967
DECR1	-0.051773905
DCLK2	0.00841752
ADGRA3	
TRIM60	0.075719266
MMAA	-0.006484088
ZBTB49	0.085389098
DEFA3	
TIGD2	0.034804616
RASSF6	0.079377477
RBM46	-0.17020361
DEFA4	0.094787491
SGMS2	0.075421518
MIER3	-0.096532475
CDC20B	-0.209388152
CRISP1	-0.187793657
DEFA5	0.048379739
DEFA6	0.221843335
UGT3A2	-0.111295948
PAPD4	-0.015564581
DEFB1	0.06691957
DCP2	-0.113233161
NIM1K	-0.020886821
DES	-0.028810078
LIX1	-0.079059515
ZNF366	-0.066669037
CFD	-0.100430778
FAM151B	-0.013534361
DFFA	-0.035837631
PRSS35	-0.106803036
LCA5	0.108824909
DFFB	-0.326434078
TIMM8A	
OLIG3	-0.232156534
C6orf118	-0.019624032
ZNF92	-0.099488601
GALNTL5	-0.060243139
DDX53	
ZNF679	-0.23505991
RNF133	0.035706142
CDC14C	
THAP5	0.149435241
GIMAP7	0.154528119
ZNF467	0.084647895
BHLHA15	-0.359101559
BMPER	0.069559028
DFNA5	-0.004214109
ZNF800	0.058425094
CNBD1	0.277304135
COCH	-0.274515648
SLC30A8	0.069053208
COL22A1	0.150790367
SNX31	-0.035695737
TMEM64	-0.314096726
ZNF596	0.086338638
IDO2	
STKLD1	-0.046628526
KCNV2	0.107107682
OLFML2A	-0.205129613
QSOX2	-0.18316912
GLIS3	0.053659063
ZNF169	-0.349197679
SPIN3	
FAM47B	
ZCCHC12	
ARX	
FUT11	-0.133594191
OIT3	-0.025242604
PWWP2B	0.090724419
SSBP4	-0.284934487
CLEC4C	0.114676013
DHX36	-0.740370067
HTR3C	0.009318776
GIMAP1	-0.080253029
GPHA2	-0.106529411
S100Z	0.073293502
COMMD6	-0.19260284
XAGE3	
XAGE5	
NUDT10	
ADAMTS15	-0.032194947
ADAMTS16	0.009449935
ADAMTS17	0.123547147
ADAMTS18	0.1097156
COX7B2	0.184590731
GSX2	-0.12000953
KCNG3	-0.043938731
ZNF525	
ZNF431	-0.182085096
ZNF721	0.266026691
ANKRD24	-0.278816198
ZNF384	-0.191004172
ADAMTS19	0.175859862
ASXL1	-0.075390053
SYNPO2	0.131732216
RHOV	0.069841974
DSTNP2	
ZNF675	-0.217735469
PDIA3P1	
CLYBL	0.103386706
FAM9B	
FAM9C	
SPTSSA	-0.524410148
PTCRA	0.033584719
POLR3H	-1.626024157
ABHD3	-0.060158971
DGUOK	0.098483496
DHCR7	-0.06112474
DHCR24	0.072074031
DHFR	-0.691635379
AFG3L1P	
DHFRP3	
DHODH	-0.616062266
DHPS	-1.143360198
CYB5R3	-0.100491506
NQO1	-0.009194562
DIAPH1	-0.198115416
AFM	-0.01835974
DIAPH2	
1-Sep	0.083532565
DIO1	-0.037363831
DIO2	-0.032236989
DIO3	0.197581937
DKC1	
DLAT	0.005233715
DLD	-0.281314439
DLG1	-0.011450268
AFP	-0.079773169
DLG2	0.090796088
DLG3	
DLG4	-0.250635617
DLST	-0.400297841
DLSTP1	
DLX1	-0.153165056
DLX2	-0.089463263
DLX3	-0.275578734
DLX4	-0.034122186
DLX5	-0.128902703
AGA	0.140134119
DLX6	0.022299684
DMBT1	9.55E-05
DMD	
SARDH	-0.14645362
DMP1	0.023037299
DNM1	-0.460914217
ACAN	-0.01271423
DMPK	-0.024741725
DMRT1	0.114678373
DMWD	-0.11974459
DNA2	
DNAH5	-0.198314593
DNAH8	
AGER	0.11298304
DNAH9	-0.142750883
DNASE1	-0.141250818
DNASE1L1	
DNASE1L2	0.038974521
DNASE1L3	0.057056993
DNASE2	-0.177478144
DYNC1H1	-1.362218351
AGL	-0.130167015
DYNC1I1	0.109360309
DYNC1I2	-1.319630253
DYNC1LI2	-0.247614467
DNM2	-1.126119392
DNMT1	-0.48737615
TRDMT1	0.085718355
DNMT3A	0.129607296
DNMT3B	-0.081110098
DNTT	0.020510551
DOCK1	
DOCK2	0.195663998
DOCK3	0.030170114
DOK1	-0.128250107
DXO	-0.072520502
DPAGT1	-1.740459307
ABAT	-0.082578122
DPEP1	-0.010768044
DPH1	-0.467474975
DPH2	-0.452101238
DPP4	0.164560245
DPP6	
DPT	0.146094143
DPYD	-0.154089088
DPYS	0.009547213
DPYSL2	0.082727372
DPYSL3	0.090666336
AGRP	0.00795568
DR1	-0.817046118
SLC26A3	0.139267593
DRD1	0.063668415
DRD3	-0.091090286
DRD4	-0.109997814
DRD5	0.1103183
DRG2	-0.253910444
JAG1	-0.019610351
ARID3A	-0.45169117
DRP2	
ATN1	-0.259724835
DSC1	0.073642321
DSC2	0.109237245
DSC3	0.024947705
DSCAM	-0.018127731
RCAN1	-0.010231378
DSG1	0.028349284
DSG2	-0.049245409
AGT	-0.076630001
DSG3	0.111200077
TSC22D3	
DSP	-0.089600092
EPYC	-0.030051413
DSPP	-0.11542088
SLC26A2	0.145530116
DTNA	0.081138772
DTNB	0.055939034
HBEGF	-0.132737275
DTX1	0.004552268
DTYMK	-1.576741239
ECM2	0.103292073
DUSP1	0.094163757
DUSP2	0.195847539
DUSP3	-0.223539751
DUSP4	0.081472105
DUSP5	0.059311357
DUSP6	0.122087084
DUSP7	-0.028650127
AGTR1	-0.14572866
DUSP8	-0.137173447
DUSP9	
DUT	-1.556501017
DVL1	-0.276120366
DVL2	-0.033181266
DVL3	-0.196400425
DYRK1A	-0.11394605
AGTR2	
TOR1A	-0.083887587
E2F1	-0.372512016
APLNR	-0.166973464
E2F2	-0.13322804
E2F3	-0.422191219
E2F4	-0.107136703
E2F5	0.17532835
E2F6	-0.691259384
E4F1	-0.630677906
EBF1	-0.023890789
GPR183	0.115708538
ECE1	-0.103270891
AGXT	-0.098446059
TYMP	-0.110917729
ECH1	0.011225403
ECHS1	0.056016672
ECM1	-0.258960032
ECT2	-1.393851713
EDA	
ABCA1	-0.053645954
NR0B1	
S1PR1	-0.073083912
LPAR1	0.011435195
S1PR3	0.029198931
EDN1	-0.029259418
EDN2	-0.02017247
EDN3	0.322830052
EDNRA	0.109330842
AHCY	-0.899332506
EDNRB	0.055323191
PHC1	-0.248548905
PHC2	-0.103906769
EEF1A1	-1.194325291
PLAC4	
EEF1A2	-0.024174161
PGAM5	-0.028145146
B3GNT6	-0.140974219
HIGD2A	-0.277807292
KRT24	0.03996722
AGO3	-0.120044744
AGO4	-0.02075129
SCAMP5	-0.039943296
EEF1B2	-0.891908256
EEF1D	-0.166756229
EEF1G	-0.985791087
EEF2	-1.988243149
EIF2D	0.049223848
EFNA1	-0.111146614
EFNA2	-0.19257324
EFNA3	-0.123170028
EFNA4	-0.244701204
EFNA5	-0.069492489
EFNB1	
EFNB2	0.162210819
EFNB3	-0.087087837
EGF	0.073176015
CELSR3	-0.11125119
CELSR2	-0.093625945
MEGF6	-0.085097576
MEGF8	-0.105200274
MEGF9	0.097443091
EGFR	-0.04136389
EGR1	-0.060227464
SDR16C5	0.153161693
AAED1	-0.00613193
ZNF367	-0.254779175
EGR2	0.048919541
ANTXRL	-0.317407461
AHR	0.024604641
EGR3	0.096396647
PLPP4	
EGR4	-0.063769538
EHHADH	0.063986796
MPZL3	0.019834111
IMMP1L	0.145530675
OR56B4	0.223026657
KRT78	-0.100774746
RILPL2	-0.334264338
DNAH10	-0.23215245
AMN1	0.042442608
DTX3	-0.168232637
ZFC3H1	-0.679164914
MYRFL	
PLBD2	0.016140289
FAM71C	-0.011331409
EEF2KMT	
EIF2S1	-1.89468019
DCP1B	0.141503539
ANO6	-0.025233995
ARID2	-0.410490524
METTL21C	-0.080212952
EIF2B1	-1.007526225
VSTM4	0.114485174
PAOX	-0.084805037
FAM24B	0.007339306
EIF2S3	
ADCY4	-0.166464121
EPHA2	0.05701023
FAM227B	-0.106682447
DNM1P46	
GRAMD2A	
AHSG	0.036598378
LCTL	-0.050949755
UBR1	-0.048907567
LINC00311	
LDHD	-0.043187974
FUK	0.101481522
MLKL	-0.059394155
EIF4A1	-1.381441698
ZNF778	-0.073628185
ACSF3	-0.01065089
WDR90	0.010692232
EME2	-0.087115055
NLRC3	
NSMCE1	-0.889538247
EIF4A2	-0.158729643
ZNF48	0.035264456
EIF4B	-0.849094943
EIF4E	-1.076069658
EIF4EBP2	-0.304466856
EIF4G1	-0.767545607
EIF4G2	-0.825390183
EIF5	-1.345848635
EIF5A	-0.99336762
AIF1	-0.264350273
CELA1	-0.247481299
ELANE	0.069794779
SERPINB1	0.146023482
DZIP1L	0.065992866
TTC21A	0.160895921
ELAVL2	0.087079408
ELAVL1	-0.331023319
ELAVL3	-0.057499364
ELAVL4	0.230163734
MCEMP1	-0.149116044
ZNF627	-0.210631015
DAND5	-0.196708316
ELF1	-0.077138614
ZNF585A	0.029151963
NLRP7	0.070678486
CADM4	-0.54030122
THAP8	0.047494809
U2AF1L4	-0.188862646
ZNF626	0.139290626
FAM129C	-0.061316942
ELF2	-0.236844358
FAM76A	0.025796597
ELF3	-0.038582809
FYB2	
CYP4Z1	0.005546003
A2M	-0.043991283
ABCA2	-0.063903795
ELF4	
CDCP2	-0.008579093
SLC5A9	-0.218311016
NUDT17	-0.259246291
TXLNA	-0.051623659
ELF5	0.033645754
TCTEX1D1	-0.141601133
PLD5	0.128175133
C1orf100	-0.307676445
SLFNL1	-0.225860146
KRTCAP2	-0.381794777
TMEM51-AS1	
ELK1	
IBA57	-0.359778439
LINC00656	
RNF215	-0.076017531
APOBEC3A	0.004136063
APOBEC3F	0.016560232
FOXD4L1	-0.229667354
ELK3	-0.016726974
ALMS1P1	
TET3	-0.093094312
ELK4	0.178772776
GKN2	0.060798639
ANKRD23	-0.230189791
APLF	-0.000344673
PIKFYVE	0.077748591
ELN	0.144399034
